alpha,target,n_days,mean_ic,std_ic,icir,positive_ic_ratio,t_stat
alpha_26_1_day_return_z,ret_fwd_1d,771,-0.015633096227206777,0.17506130034935002,-0.08930069750430035,0.4656290531776913,-2.4796023546399053
alpha_27_5_day_return_z,ret_fwd_1d,767,-0.00792884058281835,0.18185354853674446,-0.043600142238721766,0.4863102998696219,-1.2074956866517588
alpha_28_21_day_return_z,ret_fwd_1d,751,-0.007712923718745983,0.18624904981598742,-0.04141188224243984,0.49134487350199735,-1.1348669248582144
alpha_29_63_day_return_z,ret_fwd_1d,709,0.006146665094580895,0.20601944386474413,0.0298353639796072,0.5289139633286318,0.7944278451509054
alpha_30_126_day_return_z,ret_fwd_1d,646,0.016752813397263786,0.21181579165324443,0.07909142782276204,0.5557275541795665,2.0102296522929644
alpha_31_252_day_return_z,ret_fwd_1d,520,0.026733033009458944,0.2046060014821456,0.13065615287825139,0.5884615384615385,2.979418692995564
alpha_32_12_1_month_momentum_z,ret_fwd_1d,520,0.03104882104099408,0.20675755930520956,0.15017018553193842,0.6076923076923076,3.424407102521886
alpha_33_residual_momentum_z,ret_fwd_1d,0,,,,,
alpha_34_sector_neutral_momentum_z,ret_fwd_1d,0,,,,,
alpha_35_industry_momentum_z,ret_fwd_1d,0,,,,,
alpha_36_52_week_high_proximity_z,ret_fwd_1d,521,0.0027056802950438255,0.20607684175296548,0.013129472831727782,0.54510556621881,0.2996857898085253
alpha_37_20_day_breakout_z,ret_fwd_1d,724,-0.005771948225195262,0.11079602555288229,-0.05209526421541488,0.4972375690607735,-1.4017401987743285
alpha_38_20_day_breakdown_z,ret_fwd_1d,698,0.006227824859337806,0.10040032454295351,0.06202992756934169,0.5272206303724928,1.638811433982546
alpha_39_1_day_reversal_z,ret_fwd_1d,771,0.015633096227206777,0.17506130034935002,0.08930069750430035,0.5343709468223087,2.4796023546399053
alpha_40_5_day_reversal_z,ret_fwd_1d,767,0.00792884058281835,0.18185354853674446,0.043600142238721766,0.5136897001303781,1.2074956866517588
alpha_41_21_day_reversal_z,ret_fwd_1d,751,0.007712923718745983,0.18624904981598742,0.04141188224243984,0.5086551264980027,1.1348669248582144
alpha_42_overnight_return_z,ret_fwd_1d,771,-0.00175008620892348,0.1789504428534428,-0.009779725498398286,0.48378728923476005,-0.2715525303975654
alpha_43_intraday_return_z,ret_fwd_1d,772,-0.014854773519408008,0.16247524616450296,-0.09142791822188005,0.47538860103626945,-2.5403144659389314
alpha_44_overnight_intraday_reversal_z,ret_fwd_1d,771,0.00175008620892348,0.1789504428534428,0.009779725498398286,0.51621271076524,0.2715525303975654
alpha_45_gap_fill_signal_z,ret_fwd_1d,771,0.0017499875963275474,0.178950422811234,0.009779175532731338,0.51621271076524,0.27153725956317276
alpha_46_vwap_deviation_reversion_z,ret_fwd_1d,772,0.01354507802027759,0.15242882041635852,0.08886166004092455,0.5323834196891192,2.469011269856148
alpha_47_20_day_moving_average_distance_z,ret_fwd_1d,753,-0.01125889864364236,0.18480119545129525,-0.06092438209692029,0.47410358565737054,-1.6718165543564674
