feature,gain,short_name
alpha_65_dollar_volume_z,1.8144499063491821,dollar_volume
alpha_48_ma20_ma60_crossover_z,1.426960825920105,ma20_ma60_crossover
alpha_30_126_day_return_z,1.3610535860061646,126_day_return
alpha_67_amihud_illiquidity_z,1.3408738374710083,amihud_illiquidity
alpha_56_21_day_realized_volatility_z,1.267386794090271,21_day_realized_volatility
alpha_37_20_day_breakout_z,1.2468488216400146,20_day_breakout
alpha_61_return_skewness_z,1.2400658130645752,return_skewness
alpha_57_63_day_realized_volatility_z,1.2190979719161987,63_day_realized_volatility
alpha_28_21_day_return_z,1.2179502248764038,21_day_return
alpha_31_252_day_return_z,1.2104500532150269,252_day_return
alpha_62_return_kurtosis_z,1.208746314048767,return_kurtosis
alpha_71_accumulation_distribution_slope_z,1.1736215353012085,accumulation_distribution_slope
alpha_63_63_day_max_drawdown_z,1.1655669212341309,63_day_max_drawdown
alpha_27_5_day_return_z,1.1493241786956787,5_day_return
alpha_69_price_volume_correlation_z,1.1243537664413452,price_volume_correlation
alpha_47_20_day_moving_average_distance_z,1.0988810062408447,20_day_moving_average_distance
alpha_38_20_day_breakdown_z,1.0759726762771606,20_day_breakdown
alpha_70_on_balance_volume_change_z,1.073056936264038,on_balance_volume_change
alpha_73_chaikin_money_flow_z,1.0701850652694702,chaikin_money_flow
alpha_29_63_day_return_z,1.0185785293579102,63_day_return
alpha_72_money_flow_index_z,0.9763792753219604,money_flow_index
alpha_74_volume_confirmed_momentum_z,0.942799985408783,volume_confirmed_momentum
alpha_64_abnormal_volume_z,0.9399005174636841,abnormal_volume
alpha_54_daily_high_low_range_z,0.9154615998268127,daily_high_low_range
alpha_42_overnight_return_z,0.8403059840202332,overnight_return
alpha_46_vwap_deviation_reversion_z,0.6946535706520081,vwap_deviation_reversion
alpha_26_1_day_return_z,0.6884691119194031,1_day_return
alpha_43_intraday_return_z,0.6245550513267517,intraday_return
