n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
200,4,0.03,0.9,1.0,5.0,0.20187523235234184,0.3112139095181868
300,4,0.03,0.9,1.0,5.0,0.19854554384834053,0.3037771623922638
200,4,0.05,0.9,1.0,5.0,0.19654574434469718,0.29794368936214016
300,4,0.05,0.9,1.0,5.0,0.19355346350419944,0.30214335336336334
200,5,0.03,0.9,1.0,5.0,0.19184466463361394,0.28872260149644347
500,4,0.05,0.9,1.0,5.0,0.18964439703648725,0.3039697048511991
500,4,0.03,0.9,1.0,5.0,0.18950610124088269,0.2946512869967499
300,5,0.03,0.9,1.0,5.0,0.18720126890409594,0.29030757170285687
500,5,0.03,0.9,1.0,5.0,0.1860224955395131,0.2885825559845564
200,5,0.1,0.9,1.0,5.0,0.18371767710122427,0.23576386467071578
200,5,0.05,0.9,1.0,5.0,0.17966163960313103,0.29274688523959824
300,5,0.05,0.9,1.0,5.0,0.17854840390368662,0.2804445509443253
300,5,0.1,0.9,1.0,5.0,0.17748735239691768,0.23001712149930179
300,4,0.03,0.7,1.0,5.0,0.17736013149926821,0.26103983435996436
200,4,0.03,0.9,1.0,10.0,0.17662238593451532,0.2825333447412571
200,4,0.03,0.7,1.0,5.0,0.1754446277028473,0.2622702116286404
500,4,0.03,0.9,1.0,10.0,0.17543042227932387,0.2745771163039459
300,4,0.03,0.9,1.0,10.0,0.1729833389867912,0.2866251096240667
300,4,0.05,0.9,1.0,20.0,0.17008229275739722,0.23825485014050407
500,4,0.05,0.9,1.0,20.0,0.16897368205927626,0.24124458596154202
500,5,0.05,0.9,1.0,5.0,0.1684238367465673,0.264161589501592
300,4,0.1,0.9,1.0,5.0,0.16826113791530062,0.4060927549967241
200,4,0.05,0.9,1.0,20.0,0.167923517391238,0.23830801262842322
500,4,0.03,0.7,1.0,5.0,0.16506571547994833,0.2557495725005741
200,5,0.03,0.9,0.7,20.0,0.16442750524990035,0.25928275635263454
200,5,0.1,0.9,0.7,20.0,0.1588660523177991,0.28586894125753637
500,4,0.1,0.9,1.0,5.0,0.15834482653886148,0.39681559545273126
200,5,0.03,0.7,1.0,5.0,0.15558551040331442,0.32511067274491423
300,5,0.03,0.9,0.7,20.0,0.15554174739221147,0.24483614380442242
500,5,0.1,0.9,1.0,5.0,0.15226899906306235,0.2236335061895667
300,5,0.1,0.9,0.7,20.0,0.15105680968173035,0.269024299181998
200,5,0.05,0.9,0.7,20.0,0.15068027590965666,0.2653549586125385
500,4,0.05,0.9,1.0,10.0,0.15063453167668728,0.33056208795419784
200,4,0.1,0.9,1.0,5.0,0.15051191646198994,0.3793411141064373
300,5,0.03,0.7,1.0,5.0,0.1502670314881056,0.31674675318980555
300,3,0.1,0.9,1.0,20.0,0.14832036455064415,0.34015229116904777
300,5,0.05,0.9,0.7,20.0,0.14628697239995886,0.2584680476737679
300,4,0.05,0.9,1.0,10.0,0.1457345735993601,0.32568282772818796
300,3,0.1,0.9,1.0,10.0,0.14328119456759728,0.26851671809385874
500,5,0.1,0.9,0.7,20.0,0.14220494414662058,0.26437801332727795
200,4,0.05,0.9,1.0,10.0,0.14197897637610418,0.3237886851103102
300,5,0.1,0.9,1.0,10.0,0.14197463521445383,0.2090675618731878
200,3,0.1,0.9,1.0,10.0,0.14116837051094694,0.27267175195079735
500,5,0.05,0.9,0.7,20.0,0.1410025946028447,0.24465646113721048
200,5,0.1,0.7,1.0,5.0,0.14082610430116832,0.23390972956834769
500,5,0.05,0.9,1.0,10.0,0.14080992281356658,0.24721933235898197
200,3,0.03,0.7,1.0,5.0,0.14038833429357636,0.3128287319071849
500,3,0.1,0.9,1.0,20.0,0.13979368421649802,0.3380570394281429
300,5,0.03,0.9,1.0,10.0,0.13941554637386505,0.25809920530844144
500,5,0.03,0.9,0.7,20.0,0.13857372973118018,0.2385604539634309
500,5,0.03,0.9,1.0,10.0,0.13839638676547428,0.2587079630661885
300,3,0.03,0.9,0.7,5.0,0.1380177659183177,0.26595292991978026
200,5,0.05,0.9,1.0,10.0,0.13768392578117228,0.2508691469058572
200,3,0.05,0.7,1.0,5.0,0.13729647162325587,0.24679836805275582
200,5,0.1,0.9,1.0,10.0,0.13709342032132846,0.20609477576952762
500,5,0.03,0.7,1.0,5.0,0.1370331319378083,0.3128064666628291
500,3,0.05,0.7,1.0,5.0,0.13658848912389793,0.24893372720193144
200,5,0.05,0.7,1.0,20.0,0.1355738158264194,0.287072034580829
200,5,0.03,0.9,1.0,10.0,0.1353166693234418,0.2587897688964808
